train_batch,test_batch,mmd_score,mean_regret,median_regret,max_regret,num_queries,same_batch
0,0,0.0,1.505141948245501,1.193552435678163,4.939606741573034,100,True
0,1,0.02153615467250347,97.2902997059777,1.2928242739993334,6733.836842105264,100,False
0,2,0.048823971301317215,5.343842159265842,1.3624101950102832,143.0281690140845,100,False
0,3,0.04768525809049606,24.17350446404439,1.3968476131734522,1966.9772727272727,100,False
0,4,0.02820112183690071,5.517473757851092,1.2295733347529798,253.55555555555557,100,False
0,5,0.02998470701277256,16.80577313149124,1.2925955584188493,1187.0853658536585,100,False
0,6,0.01957380771636963,6.337106132800655,1.2876466632780565,211.4122028464185,100,False
0,7,0.0320294015109539,7.5523969501870765,1.4534632034632033,182.03377630121815,100,False
0,8,0.02746395207941532,7.256663637249197,1.287341797392147,280.7031358885018,100,False
0,9,0.021210456266999245,12.803502367246447,1.3115122356880022,884.575,100,False
0,10,0.03113313764333725,12.004758277086207,1.398019801980198,479.9245283018868,100,False
0,11,0.018612461164593697,7.300645189348875,1.5010749385749387,196.8892215568862,100,False
0,12,0.026240628212690353,15.13048007806832,1.2879551328426526,734.7164179104477,100,False
0,13,0.034738607704639435,35.31037050669763,1.377776877702895,2823.0750436300177,100,False
0,14,0.04579633101820946,16.47816110239295,1.4028495537621264,795.6101694915255,100,False
0,15,0.041423819959163666,5.395825944377077,1.4391547171132129,80.83870967741936,100,False
0,16,0.03780907392501831,20.918992507787525,1.4304981931051763,1394.4409448818897,100,False
0,17,0.030167654156684875,6.407625463723691,1.4505435788163927,149.22222222222223,100,False
0,18,0.024370834231376648,3.574852868659168,1.376335583311012,51.08806890476656,100,False
0,19,0.045450739562511444,21.215573555239658,1.3078280344139643,1900.372549019608,100,False
0,20,0.033271461725234985,18.31826737010774,1.3132535478296379,1528.6176470588234,100,False
0,21,0.03910410404205322,13.50232463152315,1.4637068640415811,348.3205127220503,100,False
0,22,0.04052994027733803,111.82623128213982,1.3286954297001898,6425.086956521739,100,False
0,23,0.052594467997550964,3.8141874310681882,1.1660812644687475,66.95691747572816,39,False
1,0,0.025489574298262596,21.965188326599186,1.4665463739150701,1123.214099799212,100,False
1,1,0.0,1.8519681679555327,1.1448500564662554,33.824999999999996,100,True
