train_batch,test_batch,mmd_score,ks_result,ws_score,pred_res,same_batch
0,0,0.0,"KstestResult(statistic=np.float64(0.0), pvalue=np.float64(1.0), statistic_location=np.float32(-6.7959166), statistic_sign=np.int8(1))",0.0,"    query_id  bao_latency  best_latency  default_latency    regret
0          1      418.318       374.589          374.589  1.116739
1          2       48.971        48.971           48.971  1.000000
2          3      277.548       176.568          176.568  1.571904
3          4      211.360        89.703           89.703  2.356220
4          5        0.232         0.060            0.232  3.866667
..       ...          ...           ...              ...       ...
95       102      730.228       689.220          861.195  1.059499
96       103     1044.329      1037.111         1321.644  1.006960
97       104      230.305       210.249          230.305  1.095392
98       105        0.080         0.067            0.082  1.194030
99       106        0.413         0.343            0.413  1.204082

[100 rows x 5 columns]",True
0,1,0.02153615467250347,"KstestResult(statistic=np.float64(0.06809884690918717), pvalue=np.float64(0.005065044623862968), statistic_location=np.float32(-3.1987236), statistic_sign=np.int8(-1))",0.3571529673609574,"    query_id  bao_latency  best_latency  default_latency    regret
0        107        0.036         0.029            0.043  1.241379
1        108      198.549        79.822          213.983  2.487397
2        110        0.146         0.049            3.096  2.979592
3        111        0.166         0.072            0.951  2.305556
4        112     1574.134       768.127         2605.613  2.049315
..       ...          ...           ...              ...       ...
95       217     2524.453      2301.235         4848.924  1.096999
96       218      195.874       186.477          216.683  1.050392
97       219      171.737       160.525          252.728  1.069846
98       220      168.931       137.549          146.223  1.228151
99       221      685.191       596.009          632.583  1.149632

[100 rows x 5 columns]",False
0,2,0.048823971301317215,"KstestResult(statistic=np.float64(0.10666544588903132), pvalue=np.float64(8.382750153015969e-07), statistic_location=np.float32(-1.2508966), statistic_sign=np.int8(1))",0.40834065960097254,"    query_id  bao_latency  best_latency  default_latency     regret
0        222     1277.941        88.392          733.865  14.457655
1        223        0.398         0.365           40.266   1.090411
2        224      144.331       111.100          144.331   1.299109
3        225        0.320         0.227            0.320   1.409692
4        226      133.711        19.370          133.711   6.902994
..       ...          ...           ...              ...        ...
95       328        0.504         0.207            0.321   2.434783
96       329     6718.033      6718.033        11034.335   1.000000
97       330       35.939         1.165           35.939  30.848927
98       331        0.091         0.089            0.108   1.022472
99       332      305.498       139.778          327.332   2.185594

[100 rows x 5 columns]",False
0,3,0.04768525809049606,"KstestResult(statistic=np.float64(0.10700132263686819), pvalue=np.float64(8.323063623664537e-07), statistic_location=np.float32(-1.0356754), statistic_sign=np.int8(1))",0.4973457733687913,"    query_id  bao_latency  best_latency  default_latency    regret
0        333       47.223        44.927           47.223  1.051105
1        335       43.940        43.940           43.940  1.000000
2        336      686.005       562.478          612.836  1.219612
3        337     2837.355      2165.367         2248.249  1.310334
4        338    12889.119      3852.639        12889.119  3.345530
..       ...          ...           ...              ...       ...
95       437      158.104        19.796          299.069  7.986664
96       438     1849.978      1841.490         2047.213  1.004609
97       439      160.846       156.301         1297.617  1.029079
98       440      361.434       309.676          309.676  1.167136
99       441        0.089         0.061            1.008  1.459016

[100 rows x 5 columns]",False
0,4,0.02820112183690071,"KstestResult(statistic=np.float64(0.08800132460078004), pvalue=np.float64(9.241606786740292e-05), statistic_location=np.float32(1.1491313), statistic_sign=np.int8(-1))",0.70471004935684,"    query_id  bao_latency  best_latency  default_latency    regret
0        444      713.669       262.806          713.669  2.715573
1        446      291.441        61.816          291.441  4.714653
2        447      540.587       226.224          226.224  2.389609
3        449     2581.866      1181.678         1313.756  2.184915
4        450     3624.250      1327.353         3624.250  2.730434
..       ...          ...           ...              ...       ...
95       547       46.404        41.844           46.404  1.108976
96       548     1624.439      1429.309         4513.298  1.136521
97       549        0.076         0.048            0.080  1.583333
98       550     1358.017       684.706          978.039  1.983358
99       551       44.014        41.761           44.014  1.053950

[100 rows x 5 columns]",False
0,5,0.02998470701277256,"KstestResult(statistic=np.float64(0.06507750984251968), pvalue=np.float64(0.008476116625952415), statistic_location=np.float32(-1.3716068), statistic_sign=np.int8(1))",0.19016314006784535,"    query_id  bao_latency  best_latency  default_latency       regret
0        552      805.557       794.171          929.726     1.014337
1        553     1124.216      1066.394         1123.571     1.054222
2        554       94.038        72.056           72.056     1.305068
3        555        8.623         0.298            2.559    28.936242
4        556       97.341         0.082            0.096  1187.085366
..       ...          ...           ...              ...          ...
95       650    35208.021     23839.166        46578.137     1.476898
96       651      867.117       635.928          867.117     1.363546
97       654        0.101         0.078            2.445     1.294872
98       655      785.332       535.437         1010.535     1.466712
99       656     2910.784      1905.820         2910.784     1.527313

[100 rows x 5 columns]",False
0,6,0.01957380771636963,"KstestResult(statistic=np.float64(0.09407963155548953), pvalue=np.float64(2.3694365016568072e-05), statistic_location=np.float32(1.2679492), statistic_sign=np.int8(-1))",0.3707867481011856,"    query_id  bao_latency  best_latency  default_latency    regret
0        657     1468.913      1379.164         5028.581  1.065075
1        658      156.710        94.451          479.086  1.659167
2        659      321.251       188.245          553.828  1.706558
3        660     1466.501      1466.501         1745.093  1.000000
4        661        0.427         0.076         1672.826  5.618421
..       ...          ...           ...              ...       ...
95       758     1358.668      1130.330         1358.668  1.202010
96       759        0.036         0.032            0.048  1.125000
97       760     6248.767      5306.703         7483.387  1.177523
98       761      698.908       520.699         1136.807  1.342250
99       762        0.213         0.172         2065.654  1.238372

[100 rows x 5 columns]",False
0,7,0.0320294015109539,"KstestResult(statistic=np.float64(0.0667816872541282), pvalue=np.float64(0.006255552959520489), statistic_location=np.float32(-1.2322674), statistic_sign=np.int8(1))",0.30638033434331924,"    query_id  bao_latency  best_latency  default_latency      regret
0        763      591.025       361.508          591.025    1.634888
1        764     2170.390       140.955         1794.305   15.397751
2        765        0.041         0.041            0.055    1.000000
3        766      707.691       599.418          707.691    1.180630
4        767        2.583         1.773            1.816    1.456853
..       ...          ...           ...              ...         ...
95       861      160.509        88.413          190.104    1.815446
96       862     1423.039        12.064         1423.039  117.957477
97       863     3715.609      2563.737         7219.226    1.449294
98       864        0.297         0.197            0.251    1.507614
99       865      287.981       188.801          203.138    1.525315

[100 rows x 5 columns]",False
0,8,0.02746395207941532,"KstestResult(statistic=np.float64(0.08747797370399123), pvalue=np.float64(0.0001063124155008938), statistic_location=np.float32(1.4314569), statistic_sign=np.int8(-1))",0.2546438424509072,"    query_id  bao_latency  best_latency  default_latency    regret
0        867     1866.342      1518.388         1759.727  1.229160
1        869     1690.077       842.546         1012.931  2.005917
2        870        0.109         0.084            0.109  1.297619
3        871       87.130        50.409           50.409  1.728461
4        872      103.326        62.367         1061.266  1.656742
..       ...          ...           ...              ...       ...
95       970     4704.785      4704.785         6085.952  1.000000
96       971     1497.180      1288.502         1497.180  1.161954
97       973      125.859        42.786           44.671  2.941593
98       974      161.547       141.534          151.696  1.141401
99       975     1288.742      1288.742         1474.313  1.000000

[100 rows x 5 columns]",False
0,9,0.021210456266999245,"KstestResult(statistic=np.float64(0.09055118110236221), pvalue=np.float64(5.944846585612712e-05), statistic_location=np.float32(-2.0184836), statistic_sign=np.int8(1))",0.4105295715369577,"    query_id  bao_latency  best_latency  default_latency     regret
0        976     1328.599      1294.468         1381.761   1.026367
1        977    12102.342     11627.163        12435.601   1.040868
2        978        0.330         0.330          304.012   1.000000
3        980      207.195        52.240          207.195   3.966214
4        981        4.170         1.344           53.895   3.102679
..       ...          ...           ...              ...        ...
95      1088      696.368       576.922          646.356   1.207040
96      1089     3849.432       688.357          688.357   5.592203
97      1090     5190.252       235.028         3514.857  22.083547
98      1091     1827.002       423.583         1827.002   4.313209
99      1092        0.304         0.233            0.347   1.304721

[100 rows x 5 columns]",False
